Question,Equation,Answer,fold
"올해 호석이의 나이는 16세이고, 호석이 어머니 나이는 호석이 나이보다 34살 많습니다. 작년에 호석이 어머니의 나이를 구하시오.",16 + 34 - 1,49,3
"마트에 딸기 맛 요구르트가 50병, 포도 맛 요구르트가 40병 있습니다. 한 상자에 요구르트를 10병씩 담으려고 합니다. 상자에 담지 못한 요구르트는 몇 개일까요?",( 50 + 40 ) % 10,0,1
"248, 875, 536 중에서 가장 큰 수와 가장 작은 수의 곱을 구해 보시오.","max( 248 , 875 , 536 ) * min( 248 , 875 , 536 )",132982,6
호석이는 시간당 5.0마일을 갈 수 있습니다. 마을에서 25.0마일 떨어진 호수를 갈 경우 몇 시간이 걸립니까?,25.0 / 5.0,5,5
"1.4, 0.9, 0.7, 1.6 중에서 가장 큰 수와 가장 작은 수의 차는 얼마입니까?","max( 1.4 , 0.9 , 0.7 , 1.6 ) - min( 1.4 , 0.9 , 0.7 , 1.6 )",0.9,8
민영이는 98.0개의 계란이 있습니다. 그녀는 8.0개의 계란을 선물 받았습니다. 총 몇개의 계란이 있습니까?,98.0 + 8.0,106,4
"동화책의 짧은 쪽의 길이는 길이가 1cm인 나뭇조각으로 20번입니다. 긴 쪽은 짧은쪽의 2배일때, 긴쪽의 길이는 몇 cm 인가요?",1 * 20 * 2,40,8
어떤 수를 8로 나누어야 할 것을 잘못하여 6으로 나누었더니 몫이 4가 되었습니다. 바르게 계산하면 얼마인지 구해 보시오.,( 6 * 4 ) / 8,3,5
"호석이는 이틀 전에 위인전을 128쪽을 읽고, 어제는 25쪽을 읽었습니다. 오늘은 어제보다 177쪽을 더 읽었습니다. 호석이가 3일동안 읽은 책의 양을 구하시오.",128 + 25 + ( 25 + 177 ),355,5
유나가 가진 구슬은 296개이고 유나의 동생이 가진 구슬은 277개입니다. 두사람이 가진 구슬은 모두 몇 개일까요?,296 + 277,573,2
정국이네 농장에서 딴 귤 92개를 한 상자에 87개씩 나누어 담고 남은 것은 다 먹었습니다. 먹은 귤은 몇 개인지 쓰시오.,92 % 87,5,2
화단에 나비가 4마리가 날아왔습니다. 원래 18마리 있었다고 합니다. 화단에 있는 나비는 모두 몇 마리일까요?,4 + 18,22,2
20의 약수는 모두 몇 개입니까?,"len( [ i for i in range( 1 , 20 + 1) if 20 % i == 0 ] )",6,2
A를 3으로 나누었더니 몫이 2가 되었습니다. A를 3으로 나눈 몫은 얼마인지 구하시오.,( 3 * 2 ) / 3,2,4
남준이는 사탕 85.0개를 갖고 있습니다. 유정이는 남준보다 48.0를 더 갖고 있습니다. 유정이가 가진 사탕은 몇 개 입니까?,85.0 + 48.0,133,9
"태형이네 집에 호두와 땅콩이 각각 76개, 58개 있다고 할 때, 호두가 땅콩보다 몇 개 더 많은 지 구하세요.",abs( 76 - 58 ),18,3
"정국이는 4.0권의 책을 읽었습니다. 각 책은 17.0장 일 때, 총 몇장을 읽었습니까?",4.0 * 17.0,68,6
"9로 나누어도 4가 남고, 15로 나누어도 4가 남는 어떤 수가 있습니다. 그 중에서 가장 작은 수를 쓰시오.","min( [ i + 4 for i in range( 15 , 9 * 15 + 1 ) if i % 9 == 0 and i % 15 == 0 ] )",49,7
A에 358을 더해야 할 것을 잘못하여 뺐더니 169가 되었습니다. 바르게 계산하면 얼마인가?,169 + 358 + 358,885,7
83명의 테니스 선수 중 79명을 뽑아 만들 수 있는 조의 개수는?,"math.comb( 83 , 79 )",1837620,3
남준이는 과수원에서 사과를 어제는 52개 땄고 오늘은 31개 땄습니다. 남준이는 사과를 오늘보다 어제 얼마나 더 많이 땄을까요?,52 - 31,21,6
"5.0명의 어린이가 있습니다. 125.0개의 케이크를 공평하게 나눠 주려고 할 때, 한 명당 몇개의 케이크를 받을 수 있습니까?",125.0 / 5.0,25,3
빵이 6개씩 4줄로 놓여 있습니다. 빵은 모두 몇 개입니까?,6 * 4,24,8
21.0판의 피자를 주문했는데 각 피자에는 8.0 조각이 있습니다. 피자 조각은 총 몇개 입니까?,21.0 * 8.0,168,9
"4장의 수 카드 9, 0, 5, 3 중에서 3장을 뽑아 한 번씩만 사용하여 만든 가장 작은 세 자리 수는 무엇인가요?","[ 100 * i[0] + 10 * 0 + i[1] for i in [ sorted( [ 9 , 5 , 3 ] ) ] ] [0]",305,8
가게에 귤이 925개 있었습니다. 그중에서 519개를 팔았다면 남은 귤은 몇 개입니까?,925 - 519,406,9
"정국이와 지민이가 은행에서 저금을 하기 위해 번호표를 뽑아서 기다리고 있을 때, 정국이가 가진 번호표는 374번이고 지민이가 가진 번호표는 369번입니다. 누가 나중에 저금을 할 수 있을까요?",'정국' if 374 > 369 else '지민',정국,5
공원에 입장한 50명 중에서 남자가 30명입니다. 공원에 입장한 여자 중 5명이 공원에서 나갔다면 남아있는 여자는 몇 명일까요?,50 - 30 - 5,15,9
"15로 나누어도 6이 남고, 27로 나누어도 6이 남는 어떤 수가 있습니다. 그 중에서 가장 작은 수를 구하시오.","min( [ i + 6 for i in range( 27 , 27 * 15 + 1 ) if i % 15 == 0 and i % 27 == 0 ] )",141,2
"태형네 학교에는 1학년이 98명, 2학년이 96명, 3학년이 84명이 있습니다. 1학년과 3학년의 학생 수를 합하면 몇 명인지 쓰시오.",( 98 if 1 == 1 else 96 if 1 == 2 else 84 ) + ( 98 if 3 == 1 else 96 if 3 == 2 else 84 ),182,5
24명의 학생들이 3명 씩 하나의 책상을 쓴다고 하면 책상은 모두 몇 개 필요합니까?,( 24 / 3 ),8,9
학생들이 42명씩 4줄로 서있다면 학생은 모두 몇 명입니까?,42 * 4,168,3
한 학교에 축구공이 6개씩 있습니다. 38개의 학교에는 모두 몇 개의 축구공이 있는지 구하세요.,6 * 38,228,8
남준이는 땅콩 85.0개를 갖고 있습니다. 유정이는 남준보다 48.0를 더 갖고 있습니다. 유정이가 가진 땅콩은 몇 개 입니까?,85.0 + 48.0,133,2
"동물원에 사슴이 37마리 있었습니다. 잠시 후 사슴 19마리가 더 왔다고 할 때, 동물원에 있는 사슴은 모두 몇 마리일까요?",37 + 19,56,3
유나는 마트에서 1개에 80원짜리 사탕 9개와 60원짜리 과자 4개를 샀습니다. 유나가 낸 돈은 모두 얼마인지 구해라.,80 * 9 + 60 * 4,960,3
5를 곱해야 할 것을 잘못하여 나누었더니 몫이 4가 나오는 어떤 수가 있다. 바르게 계산하면 얼마입니까?,( 4 * 5 ) * 5,100,1
"수족관에 금붕어가 478마리, 열대어가 255마리 있습니다. 수족관에 있는 금붕어와 열대어는 모두 몇 마리일까?",478 + 255,733,2
태형이는 줄넘기를 어제는 153번하였고 오늘은 어제보다 198개를 더 많이 하였습니다. 태형이가 어제 줄넘기를 한 횟수는 몇 회입니까?,153 + ( 153 + 198 ),153,4
"어떤 수로 88을 나누면 나머지가 4이고, 66을 나누면 나머지가 3입니다. 어떤 수가 될 수 있는 수의 개수는 모두 얼마입니까?","len( [ i for i in range( 1 , 66 ) if 88 % i == 4 and 66 % i == 3 ] )",2,5
수영장에 어린이와 어른을 합하여 모두 537명 있습니다. 그 중 어른이 189명입니다. 그렇다면 수영장에 있는 어린이는 몇 명입니까?,537 - 189,348,2
은지는 사탕을 사서 그 중의 0.6만큼을 친구에게 주었습니다. 남은 사탕이 36개라면 은지가 친구에게 준 사탕은 총 몇 개입니까?,36 / ( 1 - 0.6 ) - 36,54,2
"3개의 수 8.6, 9.1, 8.3 중에서 가장 작은 수를 구해라.","min( 8.6 , 9.1 , 8.3 )",3,4
"(가) = 9367807644, (나) = 353458423791, (다) = 12912755494 중에서 가장 큰 수의 기호를 쓰시오.","[ '(가)' , '(나)' , '(다)' ] [ [ 9367807644 , 353458423791 , 12912755494 ].index( max( [ 9367807644 , 353458423791 , 12912755494 ] ) ) ]",(나),5
정국이는 어버이날 부모님께 드릴 카네이션을 만들기 위해 색종이 24장씩 2묶음을 샀습니다. 정국이가 산 색종이는 모두 몇 장인지 구하시오.,24 * 2,48,8
"수 카드 6, 4, 7을 한 번씩만 사용해 만들어진 수 중 가장 작은 수는?","[ 100 * i[0] + 10 * i[1] + i[2] for i in [ sorted( [ 6 , 4 , 7 ] ) ] ][0]",467,9
"395, 472, 218 중 가장 작은 수와 가장 큰 수의 차를 구하시오.","max( 395 , 472 , 218 ) - min( 395 , 472 , 218 )",254,3
"버스에 3명이 타고 있었습니다. 서점 앞에서 2명이 내리고, 수영장 앞에서 몇 명이 탔더니 버스에 4명이 남았습니다. 수영장 앞에서 버스에 탄 사람은 몇 명인가요?",4 + 2 - 3,3,5
냉장고에 들어 있는 흰색 달걀 5개와 갈색 달걀 24개 중에서 갈색 달걀 12개를 먹었습니다. 냉장고에 남아있는 갈색 달걀은 몇 개인가요?,24 - 12,12,4
"176, 785, 167, 934 중 가장 큰 수와 가장 작은 수의 차를 구하시오.","max( 176 , 785 , 167 , 934 ) - min( 176 , 785 , 167 , 934 )",767,9
도화지 한 장으로 종이배를 4개 만들 수 있습니다. 종이 배 32개를 만들려면 도화지는 몇 장 필요한가?,32 / 4,8,9
감 4개를 서로 다른 세 마리의 원숭이에게 적어도 1개 이상씩 나누어 주려고 합니다. 감을 나누어 주는 방법은 모두 몇 가지 입니까?,"math.comb( 4 - ( 3 * 1 ) + 3 - 1 , 4 - ( 3 * 1 ) )",3,9
"4장의 수 카드 0, 3, 5, 6이 있습니다. 3장을 뽑아 한 번씩만 사용하여 세 자리 수를 만들려고 합니다. 만들 수 있는 가장 큰 수와 가장 작은 수의 합을 구해 보시오.","[ 100 * i[0] + 10 * i[1] + i[2] for i in [ sorted( [ 0 , 3 , 5 , 6 ] , reverse = True ) ] ] [0] - [ 100 * i[0] + 10 * i[1] + i[2] for i in [ sorted( [ 0 , 3 , 5 , 6 ] ) ] ] [0]",618,7
"8, 40, 12 중 가장 큰 수와 가장 작은 수의 곱은 얼마입니까?","max( 8 , 40 , 12 ) * min( 8 , 40 , 12 )",320,5
5명씩 앉을 수 있는 긴 의자가 있습니다. 학생 30명이 의자에 모두 앉으려면 긴 의자는 몇 개 필요합니까?,30 / 5,6,2
남준이는 방울토마토를 따서 한 바구니에 214개씩 담았습니다. 2바구니에 담은 방울토마토는 모두 몇 개입니까?,214 * 2,428,6
3권의 동화책이 꽂혀있는 책꽂이에 2권을 더 꽂으면 총 몇권의 동화책이 꽂혀있는가?,3 + 2,5,9
지민이의 나이는 8살이고 동생보다 1살 많습니다. 동생은 몇 살 인가요?,8 - 1,7,5
"유정이는 총 16.0개의 사과를 갖고 있습니다. 처음에 산 사과는 7.0개일 때, 중간에 구매한 사과는 몇 개입니까?",16.0 - 7.0,9,3
"버스에 승객이 11명 있었습니다. 첫 번째 정류장에서 승객 2명이 내리고, 두 번째 정류장에서 승객 4명이 탔습니다. 버스에 남은 승객은 몇 명일까요?",11 - 2 + 4,13,9
"176, 785, 167, 934 중 가장 작은 수와 가장 큰 수의 덧셈을 구하시오.","min( 176 , 785 , 167 , 934 ) + max( 176 , 785 , 167 , 934 )",1101,4
한 봉지에 7개씩 포장되어있는 감이 있다. 56개의 감을 포장하려면 봉지가 몇 개 필요한가?,( 56 / 7 ),8,3
길이가 14cm 6mm인 종이테이프 두 장을 3cm 8mm겹치게 이어 붙였습니다. 이어 붙인 종이테이프의 전체 길이는 몇 cm입니까?,( 14 * 10 + 6 ) * 2 - ( 3 * 10 + 8 ),25.4,7
20의 약수의 갯수는 모두 몇 개인지 구해 보세요.,"len( [ i for i in range( 1 , 20 + 1) if 20 % i == 0 ] )",6,3
"유정이는 10.0개의 스티커를 샀고, 추가로 22.0개의 스티커를 샀습니다. 총 몇 개의 스티커를 샀습니까?",10.0 * 22.0,220,6
"버스에 7명이 타고 있었습니다. 슈퍼마켓 앞에서 2명이 타고, 우체국 앞에서 3명이 탔습니다. 버스에 남은 사람은 몇 명일가요?",7 + 2 + 3,12,5
9개의 상자가 있습니다. 한 상자에는 배추가 71개 들어있습니다. 배추는 모두 몇 개일까요?,71 * 9,639,2
탁구공이 10개 묶음과 낱개로 총 37개 있습니다. 탁구공은 낱개로 몇 개 있나요?,37 % 10,7,1
"100개의 사탕을 태형, 남준, 윤기 3명에게 순서대로 두 개씩 나누어 줍니다. 91번째 사탕을 받는 사람은 누구입니까?","( [ ""태형"" ] * 2 + [ ""남준"" ] * 2 + [ ""윤기"" ] * 2 ) [ 91 % ( 3 * 2 ) - 1 ]",태형,6
41.0개의 작은 케이크와 123.0개의 큰 케이크가 있습니다. 제빵사들은 12.0개의 큰 케이크를 만들것입니다.. 작업 후에 총 몇 개의 케이크가 있습니까?,41.0 + 123.0 + 12.0,176,7
유나는 줄넘기를 오늘은 79번 하였고 어제는 84번 하였습니다. 유나는 어제와 오늘 줄넘기를 모두 몇 번 하였을까요?,79 + 84,163,5
"어떤 수로 88을 나누면 나머지가 4이고, 66을 나누면 나머지가 3입니다. 어떤 수는 총 몇 개 입니까?","len( [ i for i in range( 1 , 66 ) if 88 % i == 4 and 66 % i == 3 ] )",2,9
두 자리 수의 덧셈식 'A4+2B=69'에서 A에 해당하는 숫자를 쓰시오.,"[ i for i in range( 1 , 10 ) for j in range( 0 , 10 ) if ( 10 * i + 4 ) + ( 10 * 2 + j ) == 69 ] [0]",4,3
태형이는 케이크의 2/8를 먹었습니다. 남은 케이크는 태형이가 먹은 케이크의 몇 배입니까?,( 1 - 2 / 8 ) / ( 2 / 8 ),3,9
"정국이는 4.0권의 잡지를 읽었습니다. 각 잡지는 17.0장 일 때, 총 몇장을 읽었습니까?",4.0 * 17.0,68,2
"유정, 윤기, 호석, 태형이가 가위바위보를 할 때 유정이와 윤기는 가위를 내고 호석이와 태형이는 보를 냈을 때 접힌 손가락은 몇 개일까요?",2 * 3 + 2 * 0,6,3
남준이는 색종이 500장을 모으려고 합니다. 지금까지 모은 색종이가 238장일 때 앞으로 모아야 할 색종이는 몇 장인지 구하세요.,500 - 238,262,7
"9개의 과일 포도, 배, 바나나, 참외, 귤, 복숭아, 감, 파인애플, 딸기 중에서 몇 가지의 과일을 골라서 구매하려고 합니다. 반드시 참외는 구입한다고 할 때 총 6가지의 과일을 골라서 사는 경우는 모두 몇 가지입니까?","math.comb( ( 9 - 1 ) , ( 6 - 1 ) )",56,5
"석진이는 학교 앞에서 27.0개의 바지를 샀습니다. 20.0개의 바지를 버렸을 때, 총 몇개의 옷이 남았습니까?",27.0 - 20.0,7,6
"3장의 수 카드 1, 3, 4 중에서 2장을 뽑아 한 번씩 사용하여 몇십몇을 만들려고 합니다. 만들 수 있는 수 중에서 34보다 작은 수의 합은 모두 몇 일까요?","sum( i for i in [ j[0] * 10 + j[1] for j in list( itertools.permutations( [ 1 , 3 , 4 ] , 2 ) ) ] if i < 34 )",58,5
"남준이는 구슬을 4개 가지고 있고, 민영이는 남준이보다 구슬을 2개 더 적게 가지고 있습니다. 민영이가 가지고 있는 구슬은 몇 개일까요?",4 - 2,2,6
123.0 명의 학생들이 학교의 퀴즈 팀을 위해 공부하고 있습니다. 그 중 77.0 명이 팀에 맞지 않고 남은 사람을 8.0명씩 그룹에 넣었습니다. 총 그룹은 몇 개 입니까?,( 123.0 - 75.0 ) / 8.0,6,7
현재 37.0그루의 짧은 나무와 30.0그루의 큰 나무가 있습니다. 은지가 20.0개의 큰 나무를 베었다면 총 몇그루의 큰 나무가 남아있습니까?,30 - 20,10,4
딸기를 유정이는 7개 남준이는 8개 먹었습니다. 딸기를 적게 먹은 친구는 누구인가요?,'유정' if 7 < 8 else '남준',유정,5
"7개의 숫자 1, 2, 9, 0, 8, 6, 4를 한 번씩만 사용하여 일곱자리 수를 만들려고 합니다. 만들 수 있는 일곱자리 수는 모두 몇 개입니까?",math.factorial( 7 - 1 ) * ( 7 - 1 ),4320,8
66개의 바구니가 있습니다. 한 바구니에는 바나나가 97개 들어있습니다. 바나나는 모두 몇 개일까요?,97 * 66,6402,8
4명이 연필 3타를 똑같이 나누어 가졌습니다. 한 명이 가진 연필은 몇 자루입니까?,( 3 * 12 ) / 4,9,4
94개의 상자가 있고 한 상자에는 감이 70개 들어있습니다. 감은 모두 몇 개일까요?,70 * 94,6580,8
길이가 45cm인 끈을 사용하여 가장 큰 정오각형 하나를 만들었습니다. 만든 정오각형의 한 변은 몇 cm입니까?,45 / 5,9,5
한 사람당 지우개를 3개씩 줄 수 있다. 지우개가 모두 15개 있다면 몇 명의 사람에게 지우개를 나누어줄 수 있을까?,( 15 / 3 ),5,5
"회사에서 배구공 23.0개와 야구공 7.0개를 구매했고 직원 한 명당 6.0개의 공을 받을 때, 총 몇 명에게 나누어 줄 수 있습니까?",( 23.0 + 7.0 ) / 6.0,5,2
공원에는 21.0 명의 사람이 있습니다. 총 12.0명이 집에 가고 나머지 사람들은 3.0 명씩 테이블에 앉았습니다. 총 몇개의 테이블이 필요합니까?,( 21.0 - 12.0 ) / 3.0,3,8
90개 학교에 빵을 나눠주려고 합니다. 한 학교에 빵 28개를 준다고 합니다. 몇 개의 빵이 필요한가?,90 * 28,2520,4
"3장의 수 카드 3, 5, 4를 한 번씩만 사용하여 세 자리 수를 만들려고 합니다. 만들 수 있는 가장 큰 수와 가장 작은 수의 합을 구하시오.","[ 100 * i[0] + 10 * i[1] + i[2] for i in [ sorted( [ 3 , 5 , 4 ] , reverse = True ) ] ] [0] + [ 100 * i[0] + 10 * i[1] + i[2] for i in [ sorted( [ 3 , 5 , 4 ] ) ] ] [0]",888,7
학교 농구 팀을 위해 64.0 명의 여자와 44.0 명의 남자가 지원 했습니다. 그 중 23명이 탈퇴 했을 때 총 몇 명의 사람이 남았습니까?,64.0 + 44.0 - 23.0,85,5
민영이는 8.0개의 계란을 갖고 있습니다. 호석이가 62.0개의 계란을 주었다면 민영이가 갖고 있는 계란을 몇 개입니까?,8.0 + 62.0,70,4
10개의 김치를 만들려고 합니다. 김치 하나를 만들려면 배추 8개가 필요합니다. 몇 개의 배추가 필요한가요?,8 * 10,80,7
"학교 텃밭에서 열린 방울토마토가 528개 중, 1학년이 142개를 따먹고 3학년이 297개를 따먹었습니다. 남은 토마토는 모두 몇 개인지 구하세요.",528 - 142 - 297,89,2
"지민이네 반 여학생 89명은 81명씩 모둠을 만들었고, 남학생 68명은 64명씩 모둠을 만들었습니다. 모둠에 속하지 못 한 학생끼리 새로운 모둠을 만들 때, 몇 명이 속하는지 쓰시오.",89 % 81 + 68 % 64,12,4
크기가 같은 정삼각형을 여러 개 만들려고 길이가 320cm인 철사를 15명에게 똑같이 나누어 주었더니 5cm가 남았습니다. 만든 정삼각형의 한 변의 길이는 몇 cm 일까요?,( 320 - 5 ) / 15,21,1
"3장의 수 카드를 이용해 가장 작은 세 자리 수를 만드려고 하는데, 수 카드가  6, 4, 7이 있다고 합니다. 만들어진 수는 무엇입니까?","[ 100 * i[0] + 10 * i[1] + i[2] for i in [ sorted( [ 6 , 4 , 7 ] ) ] ][0]",467,7
"621, 326, 745 중에서 가장 큰 수와 가장 작은 수의 덧셈은 얼마입니까?","max( 621 , 326 , 745 ) + min( 621 , 326 , 745 )",1071,7
초콜릿 64개를 8개의 상자에 똑같이 나누어 담은 후 상자 하나에 담겨있는 초콜릿을 두명이 나누어 먹었다고 한다. 한 사람이 먹은 초콜릿의 개수는?,( 64 / 8 ) / 2,4,4
"621, 326, 745 중에서 가장 큰 수와 가장 작은 수의 뺄셈을 구해 보세요.","max( 621 , 326 , 745 ) - min( 621 , 326 , 745 )",419,5
"(나)에서 (다)로 가는 여객선에 남자가 335명, 여자가 214명 탔습니다. 남자는 여자보다 몇 명 더 많이 탔는지 구하시오.",335 - 214,21,7
어떤 수를 9로 나누어야 할 것을 잘못하여 3으로 나누었더니 몫이 6이 되었습니다. 바르게 계산하면 몫은 얼마입니까?,( 6 * 3 ) / 9,2,5
"민영이는 100.0개의 종이를 갖고 있고, 한 사람당 20.0개의 종이를 나누어 주려고 할 때, 총 몇 명에게 나누어 줄 수 있습니까?",100.0 / 20.0,5,1
"어머니께서 달걀을 50개 사오셨습니다. 달걀이 10개씩 묶음으로 되어있을 때, 사 오신 달걀은 모두 몇 묶음 일까요?",50 / 10,5,8
"61, 4, 7, 72 중에서 가장 큰 수와 가장 작은 수의 뺄셈을 구하시오.","max( 61 , 4 , 7 , 72 ) - min( 61 , 4 , 7 , 72 )",68,9
"물고기 잡기 체험장에서 석진이는 붕어를 5마리 잡았고, 잉어는 붕어보다 4마리 더 많이 잡았습니다. 석호가 잡은 잉어는 모두 몇 마리일까요?",5 + 4,9,5
7명의 친구들이 달리기 시합을 한다. 민영이가 앞에서 3번째로 들어왔다면 뒤에서 몇 등이었는가?,7 - 3 + 1,5,8
석진이네 학교 1학년은 한 반에 18명씩 7개 반이 있습니다. 1학년 학생들에게 공책을 4권씩 나누어 주려고 합니다. 공책은 모두 몇 권 필요합니까?,18 * 7 * 4,504,1
윤기는 어떤 수에서 41을 빼려고 했으나 잘못하여 27을 빼고 정답을 22라고 썼습니다. 바르게 계산했을 때의 정답을 구하시오.,22 + 27 - 41,8,9
소수점을 오른쪽으로 두 자리 옮기면 원래보다 10.28만큼 커지는 소수를 구하시오.,10.28 / ( ( 10 ** 2 ) - 1 ),0.1,7
마트에서 과자를 바구니에는 24개씩 넣고 상자에는 20개씩 넣었습니다. 바구니 5개와 상자 4개에 들어있는 과자는 모두 몇 개일까?,24 * 5 + 20 * 4,200,9
"빵집에 단팥빵이 36개 있고, 크림빵은 단팥빵보다 15개 더 적게 있습니다. 빵집에 있는 단팥빵과 크림빵은 모두 몇 개일까요?",36 + 36 - 15,57,5
A/39 의 몫은 3이고 나머지는 B라 할 때 A에 들어갈 수 있는 수 중에서 가장 큰 수를 구하시오.,39 * 3 + 38,155,4
경로당에 장식할 풍선을 40개씩 2묶음을 사려고 합니다. 풍선은 모두 몇 개 사야할까?,40  * 2,80,9
태형이는 빵 6개를 가지고 있고 남준이는 3개를 가지고 있다. 빵을 더 많이 가지고 있는 사람은 누구일까?,'태형' if 6 > 3 else '남준',태형,7
"유정이는 단풍잎을 9장 주웠고, 은행잎은 단풍잎보다 3장 더 많이 주웠습니다. 유정이가 주운 은행잎은 모두 몇 장일까요?",9 + 3,12,2
매장에 사과 5.0개와 배 35.0개가 있습니다. 과일을 한 상자당 8.0개씩 담을 때 몇개의 상자가 필요합니까?,( 5.0 + 35.0 ) / 8.0,5,5
"주차장에 두발자전거 34대와 세발자전거 26대가 있다고 할 때, 바퀴 수는 모두 몇 개인지 구하시오.",( 2 * 34 ) + ( 3 * 26 ),146,8
민영이는 초콜릿 17개를 친구와 나누어 가지려고 합니다. 민영이가 친구보다 초콜릿을 1개 더 적게 가지려면 몇 개를 가져야 할까요?,( 17 - 1 ) // 2,8,2
"지민이가 책상의 짧은 쪽의 길이를 뼘으로 재었더니 3뼘이었을 때, 한 뼘의 길이가 약 11 cm라면 책상의 짧은 쪽의 길이는 약 몇 cm인가요?",3 * 11,33,7
"유정이는 오피스텔에 살고 있는데 유정이네 집은 아래에서 일곱째, 위에서 둘째 층입니다. 유정이가 살고 있는 오피스텔은 몇 층까지 있을까요?",7 + 2 - 1,8,8
"서랍에 115.0개의 연필이 있습니다. 지민이가 100.0 개의 연필을 추가로 두었을 때, 얼마나 많은 연필이 있습니까?",115.0 + 100.0,215,4
6으로 나누어야 할 것을 잘못하여 4로 나누었더니 몫이 3이 되었습니다. 바르게 계산하면 몫은 얼마입니까?,( 4 * 3 ) // 6,2,6
호석이는 딱지 80묶음을 가지고 있다. 1 묶음에 딱지 92개가 들어있다면 호석이가 가진 딱지는 모두 몇 장인지 구하시오.,80 * 92,7360,2
5명의 학생이 가위바위보를 할 때 3명이 가위를 내고 1명이 보를 내고 1명이 바위를 냈을 때 펼친 손가락은 몇 개일까요?,3 * 2 + 1 * 5 + 1 * 0,11,5
"176, 785, 167, 934 중 가장 큰 수와 가장 작은 수의 합은 얼마입니까?","max( 176 , 785 , 167 , 934 ) + min( 176 , 785 , 167 , 934 )",1101,7
"과수원에 사과나무가 43그루, 배나무가 64그루 있습니다. 사과나무는 배나무보다 몇 그루 더 적을까요?",64 - 43,21,8
5명의 학생이 가위바위보를 할 때 3명이 가위를 내고 1명이 보를 내고 1명이 바위를 냈을 때 펼친 손가락은 몇 개일까요?,3 * 2 + 1 * 5 + 1 * 0,11,5
"빵집에 단팥빵이 36개 있고, 크림빵은 단팥빵보다 15개 더 많이 있습니다. 빵집에 있는 단팥빵과 크림빵은 모두 몇 개일까요?",36 + 36 + 15,87,6
"지민이는 61.0개의 배를 골랐고, 남준이는 15.0개의 사과를 골랐습니다. 두 사람에게 총 몇개의 과일이 있습니까?",61.0 + 15.0,76,7
7명이 달리기 시합을 할 때 민영이가 앞에서 3번째로 들어왔다면 뒤에서는 몇 등인가?,7 - 3 + 1,5,3
아메리카노 38.0잔이 있는 카페에서 유정이가 아메리카노 20.0잔을 먹었다면 총 몇 잔이 남았습니까?,38.0 + 28.0 - 20.0,46,7
"테이프가 5m 있습니다. 그중에서 2m로 상자를 포장했고, 0.9m로 책을 묶었습니다. 사용하고 남은 테이프는 몇 m입니까",5 - 2 - 0.9,2.1,5
72.0장의 카드를 가진 유나가 61.0장을 버렸을 때 몇 장의 카드가 남아있습니까?,72.0 - 61.0,11,9
"빨간 구슬이 56개, 파란 구슬이 26개 있습니다. 노란 구슬은 빨간 구슬과 파란 구슬을 의 차이보더 18개 더 많습니다. 노란 구슬은 몇개인가?",56 - 26 + 18,48,8
27층짜리 아파트가 있습니다. 아파트를 2층 더 쌓았다. 한 층에 창문이 8개씩 있다. 아파트 전체 창문의 개수는 모두 몇 개 입니까?,( 27 + 2 ) * 8,216,9
"남준이네 가족은 주말농장에서 사과 35개, 배 20개, 감 32개를 수확하였습니다. 수확된 과일 중 가장 많은 과일은 무엇일까요?",'사과' if 35 > 20 and 35 > 32 else '배' if 20 > 32 else '감',사과,8
9명을 3모둠으로 똑같이 나누려고 합니다. 한 모둠에 몇 명씩입니까?,( 9 / 3 ),3,8
토끼 3마리가 하루에 당근을 6개 먹습니다. 모든 토끼가 매일 똑같은 수의 당근을 먹는다면 토끼 8마리가 당근 48개를 먹는 데 며칠이 걸리는지 알아내시오.,48 / ( ( 6 / 3 ) * 8 ),3,9
"유나는 14.0원의 캠코더와 26.0원의 자라를 샀다면 그녀가 일주일에 5.0원씩 지불 하게될때, 몇 번 지불 해야합니까?",( 14.0 + 26.0 ) / 5.0,8,3
지민이가 가진 풀의 길이가 76mm일 때 풀의 길이는 몇 cm입니까?,( 76 / 10 ),7.6,1
9명의 어린이가 한 줄로 서있습니다. 민영이가 뒤에서 셋째에 서 있다면 민영이의 앞에는 몇 명의 어린이가 서 있을까요?,9 - 3,6,8
"어떤 수의 소수점을 왼쪽으로 한 자리 옮기면 원래의 값보다 0.59만큼 작아진다고 할 때, 원래의 수는 무엇입니까?",0.59 / ( 1 - ( 10 ** ( ( -1 ) * 1 ) ) ),0.66,5
13 초과 15 미만인 자연수를 모두 더하면 얼마인가?,"sum( [ x for x in range( 13 + 1 , 15 ) ] )",14,3
"석진이는 초당 2.0마일을 갈 수 있습니다. 총 14.0마일을 갔을 때, 몇 초가 걸렸습니까?",14.0 / 2.0,7,8
동물 인형 9개를 한 줄로 놓았는데 그중에서 토끼 인형은 뒤에서 다섯째에 있습니다. 토끼 인형은 앞에서 몇째에 있는지 구하세요,9 - 5 + 1,5,2
한 학교에 축구공이 6개씩 있습니다. 38개의 학교에는 모두 몇 개의 축구공이 있는지 쓰세요.,6 * 38,228,1
유정이는 연필이 156자루 있었는데 볼펜을 168자루 샀다고 한다. 유정이가 가진 연필과 볼펜은 모두 몇 자루입니까?,156 + 168,324,9
"248, 875, 536 중에서 가장 큰 수와 가장 작은 수의 뺄셈을 쓰시오.","max( 248 , 875 , 536 ) - min( 248 , 875 , 536 )",627,8
