Question,Equation,Answer,fold,Numbers,Names
바둑돌 number0개를 양손에 쥐고 있다고 한다. 오른손에 number1개의 바둑돌이 있다고 하면 왼손에는 몇 개의 바둑돌이 있을까요?,number0 - number1,5,6,9 4 ,
"어떤 범위의 숫자에서 홀수의 합을 구하려고 하는데, 범위가 number0부터 number1라고 합니다. 구하려는 값은?","sum( [ i for i in range ( number0 , number1 + 1 ) if i % 2 != 0 ] )",9240,3,279 338 ,
서울에서 대구까지의 거리는 number0km입니다. number1시간에 number2km를 가는 name0로 서울에서 출발하여 대구를 향해 number3시간을 갔다면 남은 거리는 몇 km인지 쓰시오.,number0 - number2 / number1 * number3,51,5,98 1 94 0.5 ,자동차 
"가위바위보를 하는데 name0이는 가위, name1이는 바위, name2이는 보를 냈을 때 접힌 손가락은 몇 개일까요?",3 + 5 + 0,8,1,,유정 태형 남준 
"서로 다른 두 자연수 name0, name1가 있습니다. 'name2+name3=number0', 'name4=name5+name6+name7+name8'일 때, name9를 구하시오.",number0 / ( 4 + 1 ),6,7,30 ,A B 
"한 상자에는 name0가 number0개 들어있다고 할 때, number1개의 상자 안에 있는 name1는 모두 몇 개일까요?",number0 * number1,5680,2,71 80 ,오이 
"name0에 number0명이 타고 있었습니다. 수영장 앞에서 몇 명이 타고, 서점 앞에서 number1명이 탔더니 name1에 number2명이 있습니다. 수영장 앞에서 몇 명이 name2에 탔나요?",number2 - ( number0 + number1 ),3,6,3 2 8 ,버스 
name0이는 number0개의 지우개를 갖고 있습니다. name1이는 number1개의 연필을 갖고 있습니다. name2는 number2개의 name3을 갖고 있습니다. name4이와 name5이가 가진 학용품의 개수와 name6의 차이는 몇 개 입니까?,number0 + number1 - number2,11,5,7.0 8.0 4.0 ,태형 남준 윤기 볼펜 
name0의 number0자리 수와 number1자리 수를 바꾼 후 number2와 더하였더니 number3이 되었다면 처음 number4자리 수와 number5의 차를 구해라.,( number3 - number2 ) + ( ( number3 - number2 ) % 10 - ( number3 - number2 ) // number0 ) * 99 - number5,634,2,100 1 395 723 3 189 ,A 
"number0개의 과일 name0, name1, 바나나, 참외, name2, 복숭아, name3, 파인애플이 있습니다. 이 중에서 number1가지의 과일을 골라서 사는 경우는 모두 몇 가지인가요?","math.comb( number0 , number1 )",56,8,8 5 ,배 감 귤 포도 배 
"어떤 수로 number0을 나누면 나머지가 number1이고, number2을 나누면 나머지가 number3입니다. 어떤 수가 될 수 있는 수의 개수를 구해 보세요.","len( [ i for i in range( 1 , number2 ) if number0 % i == number1 and number2 % i == number3 ] )",2,3,88 4 66 3 ,
name0을 한 상자에 number0개씩 담았더니 number1상자가 되고 number2개가 남았습니다. name1은 모두 몇개인가?,number0 * number1 + number2,99,2,13 7 8 ,감 
"책상에 연필 number0자루, 지우개 number1개, 필통 number2개가 있습니다. 총 몇 개의 학용품이 있습니까?",number0 + number1 + number2,78,8,43.0 19.0 16.0 ,
"조기 number0두름을 하루에 number1마리씩 팔려고 합니다. 조기 한 두름은 number2마리일 때, 팔고 남은 조기는 몇마리 입니까?",number0 * number2 % number1,34,7,85 78 94 ,
은행에서 name0이가 가진 번호표는 number0번이고 name1이가 가진 번호표는 number1번입니다. 누가 먼저 저금을 할 수 있을까요?,'name0' if number0 < number1 else 'name1',지민,6,374 369 ,정국 지민 
"어느 과수원에서 name0를 name1이는 number0개, name2이는 number1개 땄습니다. name3이와 name4이가 딴 name5를 number2명에게 똑같이 나누어 주면 number3명에게 name6를 몇 개씩줄 수 있습니까?",( number0 + number1 ) / number2,8,2,21 27 6 1 ,유정 호석 사과 
어떤 수에 number0를 곱해야 할 것을 잘못하여 나눴더니 number1가 되었습니다. 바르게 계산한 값은 얼마인지 쓰시오.,( number1 * number0 ) * number0,0.15,4,0.5 0.6 ,
name0이는 number0개의 name1과 number1개의 name2을 갖고 있습니다. 기린이 name3 number2개를 먹었으면 name4이는 총 몇개의 name5을 갖고 있습니까?,number1 - number2,7,5,7.0 12.0 5.0 ,지민 수박 당근 
주차장에 승용차 number0대와 name0 number1대가 있습니다. 이 주차장에 있는 승용차와 name1의 바퀴는 모두 몇 개인지 쓰시오.,number0 * 4 + number1 * 2,164,1,32 18 ,오토바이 
"색종이를 name0이와 name1가 각각 number0장씩 number1묶음, number2장씩 number3묶음 가지고 있습니다. name2이와 name3 중 색종이를 더 많이 가지고 있는 사람은 누구일까요?",'name1' if number0 * number1 > number2 * number3 else 'name0',정국,9,8 6 5 9 ,유나 정국 
number0개의 쿠키를 number1개씩 한 박스에 포장한다고 할 때 몇 개의 박스가 필요합니까?,( number0 / number1 ),6,1,30 5 ,
name0이가 간식을 먹기 위해 전자레인지에 팝콘을 넣었습니다. number0분 number1초 동안 가number2한 후 꺼내서 다시 number3초를 더 가number4하였습니다. name1이가 기다린 시간은 몇 초인가요?,number0 * 60 + number1 + number3,808,1,7 38 10 287 10 ,석진 
number0봉지씩 포장되어있는 name0가 있다. name1가 전체 number1개 있다고 하면 몇 개의 봉지가 생기는가?,( number1 / number0 ),7,7,4 28 ,포도 
"number0개의 상자가 있습니다. 한 상자에는 name0가 number1개 들어있다고 할 때, name1는 모두 몇 개일까요?",number1 * number0,5680,3,80 71 ,오이 
어떤 수에 number0을 더할 것을 잘못하여 뺐더니 number1이 되었습니다. 어떤 수에서 number2을 더한 값을 구하세요.,number1 + number2 + number2,92,3,18 56 18 ,
"name0, name1, name2는 똑같은 컵에 물을 가득 따라 마셨습니다. 컵에 물이 number0, number1, number2만큼 남았다면 누구의 물이 가장 적게 남았나요?","'name2' if min( number0 , number1 , number2 ) == number0 else ( 'name0' if min( number0 , number1 , number2 ) == number1 else 'name1')",석진,2,1/8 1/7 1/2 ,남준 윤기 석진 
name0이가 하루에 name1 number0개를 먹는다고 할 때 name2이가 number1일동안 먹은 name3의 개수는 모두 몇 개입니까?,number0 * number1,138,1,46 3 ,태형 사탕 
name0이네 집에 name1상자가 number0상자 있습니다. 한 상자에 name2가 number1개씩 있다면 name3이네 집에 있는 name4의 개수는 모두 몇 개입니까?,number0 * number1,75,7,3 25 ,민영 사과 
공책을 name0이는 number0권 가지고 있고 name1이는 name2이보다 number1권 더 많이 가지고 있습니다. name3이가 name4이보다 공책을 number2권 적게 가지고 있다면 세사람이 가지고 있는 공책은 몇 권일까요?,number0 + ( number0 + number1 ) + ( number0 + number1 - number2 ),170,1,54 17 26 ,민영 태형 호석 
"마트에 name0 number0송이가 있습니다. number1송이를 name1달하는데 number2분이 걸릴 때, number3송이를 name2달하는데 얼마나 걸리나요?",number2 * number3,80,3,8 1 10 8 ,배 포도 배 
"name0이가 앞에서부터 number0 번째에 서 있습니다. 키가 큰 사람부터 순서대로 number1명이 한 줄로 섰다고 할 때, 키가 작은 사람부터 순서대로 다시 줄을 서면 name1이는 앞에서부터 몇 번째에 서게 됩니까?",number1 + 1 - number0,2,4,3 4 ,남준 
"name0이는 단풍잎을 number0장 주웠고, 은행잎은 단풍잎보다 number1장 더 적게 주웠습니다. name1이가 주운 나뭇잎은 모두 몇 장일까요?",number0 + number0 - number1,15,4,9 3 ,유정 
참새 number0마리가 나뭇가지에 앉아 있었는데 그중에서 number1마리가 날아갔습니다. 나뭇가지에 남은 참새는 몇 마리일까요?,number1 - number1,0,1,5 5 ,
name0이가 가지고 있는 풀의 길이는 number0mm입니다. name1이가 가지고 있는 풀의 길이는 몇 cm인지 소수로 나타내어 보시오,( number0 / 10 ),7.6,8,76 ,지민 
number0을 뺐을 때 number1가 되는 어떤 수는 얼마입니까?,number0 + number1,863,8,428 435 ,
네 변의 길이의 합이 number0cm인 정사각형이 있습니다. 이 정사각형의 한 변은 몇 cm인가요?,number0 / 4,5,6,20 ,
각 바구니에는 number0개의 name0자가 있습니다. number1개의 바구니에는 총 몇개의 name1자가 있습니까?,number0 * 3.0,12,3,4.0 3 ,감 
"number0가 name0의 약수일 때, name1가 될 수 있는 수 중 number1에 가장 가까운 수를 구하시오.","min( [ i - number1 for i in range( number0 , number0 * math.ceil( number1 / number0 ) + 1 ) if i % number0 == 0 ] , key = abs ) + number1",96,1,12 100 ,A 
number0 초과 number1 이하인 자연수를 모두 더하면 얼마인가?,"sum( [ x for x in range( number0 + 1 , number1 + 1 ) ] )",81,8,4 13 ,
"name0는 number0 달러를 갖고 있습니다, 일을 하여 number1 달러를 더 받았다면, number2 달러짜리 장난name1을 총 몇개 살 수 있습니까?",( number0 + number1 ) / number2,67,6,123.0 11.0 2.0 ,은지 감 
"수number0 number1, number2, number3, number4, number5, number6, number7, number8이 반복된다고 할 때 number9번째 수는 name0엇입니까?","[ number1 , number2 , number3 , number4 , number5 , number6 , number7 , number8 ] [ number9 % 8 - 1 ]",37,6,10 47 27 43 12 34 37 40 38 46 ,무 
어떤 수에서 number0를 곱해야하는데 잘못하여 number1로 나누었다. 잘못 계산한 결과가 number2가 나왔다면 바르게 계산한 결과는 얼마입니까?,( number2 * number1 ) * number1,100,4,5 5 4 ,
한 봉지에 number0개씩 들어 있는 젤리가 number1봉지 있습니다. 젤리 number2개를 더 구해왔다면 젤리는 몇 개일까요?,number0 * number1 + number2,130,6,40 2 50 ,
어떤 수에서 number0을 빼야하는데 더해서 number1가 나왔다. 바르게 계산한 값을 구하시오.,( number1 - number0 ) - number0,233,6,178 589 ,
"어떤 수로 number0을 나누면 나머지가 number1이고, number2을 나누면 나머지가 number3입니다. 어떤 수를 구하시오.","min( [ i for i in range( 1 , number0 ) if number0 % i == number1 and number2 % i == number3 ] )",12,4,90 6 110 2 ,
name0책의 긴 쪽의 길이는 길이가 number0cm인 공깃돌로 number1번입니다. name1책의 긴 쪽의 길이는 몇 cm인가요?,number0 * number1,15,4,1 15 ,과학 
연필이 한 타에 number0타 있습니다. 이 연필을 연필꽂이 number1개에 number2자루씩 꽂을 때 남는 것 없이 모두 꽂으려면 연필꽂이는 적어도 몇 개 필요한가?,12 * number0 // number2 + number1 if 12 * number0 % number2 != 0 else 12 * number0 // number2,14,1,8 1 7 ,
"number0, number1, number2, number3 중 가장 큰 수와 가장 작은 수로 합을 구해라.","max( number0 , number1 , number2 , number3 ) + min( number0 , number1 , number2 , number3 )",92,5,69 44 32 23 ,
"name0이는 구슬을 number0개 모았습니다. name1이는 name2이보다 number1개 더 많이 모았고, name3는 name4이보다 number2개 더 적게 모았습니다. name5가 모은 구슬은 몇 개일까요?",number0 - number2,36,6,43 5 7 ,민영 유정 은지 
"number0개의 과일 name0, name1, 바나나, 참외, name2, 복숭아, name3, 파인애플 중에서 number1가지의 과일을 골라서 사는 경우는 모두 몇 가지입니까?","math.comb( number0 , number1 )",56,1,8 5 ,배 감 귤 포도 배 
name0이는 number0살이며 number1살 어린 동생이 있다. 어머니는 동생보다 number2name1 많은 나이를 갖고 있고 아버지는 number3name2가 많다고 한다면 부모님의 나이의 합은?,( number0 - number1 ) * ( number2 + number3 ),70,4,12 2 3 4 ,호석 배 배 
"number0, number1, number2 중 가장 큰 수와 가장 작은 수의 곱을 구해라.","max( number0 , number1 , number2 ) * min( number0 , number1 , number2 )",320,9,8 40 12 ,
name0이 number0개 있습니다. 한 교실 당 number1 개씩 나누어 주면 몇 개의 반에 나누어 줄 수 있는지 구하세요.,number0 / number1,7,3,35 5 ,빵 
학생 number0명이 놀이터에 있었습니다. 학생 number1명이 더 왔다면 놀이터에 있는 학생은 모두 몇 명인가?,number0 + number1,5,9,4 1 ,
"한 상자에 name0를 number0개씩 담았더니 number1상자가 되었고, 상자 number2에 바나나를 number3개씩 담았더니 number4상자가 되었습니다. 어떤 과일이 더 많습니까?",'name0' if number0 * number1 > number3 * number4 else '바나나',포도,4,8 18 1 4 32 ,포도 
name0이가 동화책을 오전에 number0쪽 읽었고 number1쪽을 오후에 또 읽었다고 하면 name1이가 하루에 읽은 책은 모두 몇 장입니까?,number0 + number1,324,4,156 168 ,유정 
"name0는 number0kg을 number1원에 파는 설탕을 number2kg 샀고, number3kg을 number4원에 파는 소금을 number5kg 샀습니다. 설탕과 소금을 사는데 name1가 쓴 돈은 총 얼마입니까?",number1 * ( number2 / number0 ) + number4 * ( number5 / number3 ),260,4,0.3 40 0.9 0.2 70 0.4 ,은지 
"밤이 number0개, 호두가 number1개 있습니다. 땅콩은 밤과 호두를 합한 것보다 number2개 더 적습니다. 땅콩은 몇개인가요?",number0 + number1 - number2,61,6,35 55 29 ,
number0명의 친구가 달리기 시합을 하였습니다. name0이는 결승점에 뒤에서 number1째로 들어왔습니다. name1이는 결승점에 앞에서 몇째로 들어왔나요?,number0 - number1 + 1,6,2,9 4 ,지민 
"name0이네 학교에는 name1이 number0명, name2이 number1명 있을 때, name3과 name4 중에서 어느 학생이 더 많name5 구하세요.",'name2' if number0 > number1 else 'name3',여학생,2,253 256 ,태형 은지 남학생 여학생 
공책 number0권을 어린이 number1명에게 나누어 주려고 합니다. 공책을 나누고 나면 몇 권 남을까요?,number0 % number1,1,9,14 13 ,
"회사에서 name0 number0개와 name1 number1개를 구매했습니다. 직원 number2명당 number3개의 공을 받을 때, 총 몇 명에게 나누어 줄 수 있습니까?",( number0 + number1 ) / number3,5,1,23.0 7.0 1 6.0 ,배구공 야구공 배 배 
number0명의 학생들이 한 줄로 줄을 섰습니다. name0의 앞에 number1명의 학생들이 서 있습니다. name1의 뒤에 서 있는 학생은 몇 명입니까?,number0 - number1 + 1,10,8,20 11 ,윤기 
name0네 집에서 학교까지의 거리는 number0km보다 number1m 더 멉니다. name1네 집에서 학교까지의 거리는 몇 m입니까?,( number0 * 1000 ) + number1,1200,6,1 200 ,은지 
number0보다 작고 number1보다 큰 수는 모두 몇 개일까요?,number0 - number1 - 1,8,6,85 76 ,
"number0자리 숫자가 number1, number2자리 숫자가 number3인 number4자리 수보다 number5 작은 수는 얼마입니까?",number0 * number1 + number3 - number5,37,6,10 4 1 6 2 9 ,
각 박스에는 number0개의 name0자가 있습니다. number1개의 박스에는 총 몇개의 name1자가 있습니까?,number0 * 3.0,12,6,4.0 3 ,감 
"어떤 수보다 number0 큰 수를 구하려고 합니다. 어떤 수에 number1를 더하면 number2과 같을 때, 구하려고 하는 값은 얼마일까요?",number2 - number1 + number0,73,6,16 24 81 ,
"number0, number1, number2, number3 중 가장 큰 수와 가장 작은 수의 덧셈을 구하시오.","max( number0 , number1 , number2 , number3 ) + min( number0 , number1 , number2 , number3 )",1101,7,176 785 167 934 ,
"number0개의 수 number1, number2, number3, number4, number5가 있습니다. 가장 큰 수와 가장 작은 수의 곱은 얼마인지 구하시오.","max( number1 , number2 , number3 , number4 , number5 ) * min( number1 , number2 , number3 , number4 , number5 )",3340,7,5 483 509 668 237 125 ,
"name0이는 월요일에 number0분, name1에 number1분 name2에 number2분, name3에 number3분, 일주일에 평균 number4분 축구를 한다고 한다. name4에 name5이가 축구를 한 시간을 구하시오.",number4 * 5 - ( number1 + number1 + number2 + number3 ),44,9,33 33 99 41 50 ,지민 화요일 수요일 목요일 금요일 
name0이네 학교 학생들은 number0개의 반으로 이루어져있고 한 반에 number1명의 학생들이 있다고 한다. 모든 사람들이 name1을 number2개씩 갖고 있다면 name2은 모두 몇 개인가?,number1 * number0 * number2,168,3,4 21 2 ,민영 귤 
"name0이는 집에서 number0km 떨어진 name1에 갔다. number1km number2m는 name2를 타고 가고, 나머지는 걸어서 갔을 때, name3이가 걸어간 거리는 몇 m인가요?",( number0 * 1000 ) - ( number1 * 1000 + number2 ),200,8,2 1 800 ,태형 도서관 자전거 
매장 number0개당 number1명이 방문했는데 총 number2개의 매장이 있을 때 총 몇명이 방문 했습니까?,number1 * 3.0,3750,8,1 1250.0 3 ,
민정이가 학교에 name0를 number0개 가져와서 number1개를 먹었다면 남은 name1는 먹은 name2의 몇 name3입니까?,( 1 - number1 / number0 ) / ( number1 / number0 ),3,2,8 2 ,과자 배 배 
"학생들이 운동장에 한 줄로 서 있는데, name0이는 number0번째, name1이는 number1번째에 서 있습니다. name2이와 name3이 사이에는 몇 명이 서 있을까요?",( number1 - number0 - 1),2,3,4 7 ,민영 정국 
"name0이는 number0개의 name1이 있습니다. name2이가 처음 number1개를 먹고 name3이가 name4이에게 number2개의 name5을 주었다면, name6이는 몇개의 name7을 갖고 있습니까?",number0 - number1 + number2,42,8,35.0 12.0 19.0 ,유정 석진 사탕 
name0가 초당 number0킬로미터를 달리는데 총 number1킬로 미터를 달렸습니다. name1는 총 몇 초가 걸렸습니까?,number1 / number0,5,1,5.0 25.0 ,은지 
name0이는 number0원을 가지고 있습니다. 문구점에서 number1원짜리 공책 number2권을 샀습니다. 남은 돈은 얼마입니까?,number0 - 93 * 80 - number1 * number2,14456,5,20000 77 72 ,유정 
"name0이네 학교 number0학년 학생들을 number1줄로 세웠더니 number2명이 남았습니다. 한 줄에 number3명씩일 때, number4학년 학생은 모두 몇 명일까요?",number3 * number3 + number2,70,1,2 8 6 8 2 ,유정 
"name0, name1, name2이가 뽑은 수 카드는 각각 number0, number1, number2입니다. 세 사람이 뽑은 수 카드에 적힌 수 중에서 가장 큰수와 가장 작은 수의 차는?","max( number0 , number1 , number2 ) - min( number0 , number1 , number2 )",627,4,248 875 536 ,남준 호석 지민 
name0이는 자두 number0개를 형과 똑같이 나누어 가지려고 한다면 각각 몇 개씩 가져야 할까요?,number0 // 2,7,2,14 ,정국 
돼지의 다리 수를 세어 보니 모두 number0개입니다. 돼지는 몇 마리인지 맞춰보세요.,number0 / 4,7,9,28 ,
한 상자에 number0개의 name0가 있다. number1상자의 name1 중 number2상자를 팔았다면 남은 name2의 개수를 구하시오.,( number1 - number2 ) * number0,96,9,8 60 48 ,사과 
number0개의 name0를 number1개의 바구니에 나누어 담았다. 한 바구니에는 몇 개의 name1가 담기게 됩니까?,( number0 / number1 ),8,2,24 3 ,포도 
"number0, number1, number2 중에서 가장 큰 수를 가장 작은 수로 나눈 나머지를 쓰시오.","max( number0 , number1 , number2 ) % min( number0 , number1 , number2 )",40,9,248 875 536 ,
name0이네 학교의 학생 수는 모두 number0명입니다. 그 중에서 name1이 number1명이name2 name3은 몇 명인지 쓰시오.,number0 - number1,371,2,740 369 ,유정 라면 남학생 여학생 
name0시간에 number0명이 number1개의 조로 나누어 줄다리기를 하려고 합니다. 한 조에 몇명 씩으로 나누면 되나요?,number0 / number1,3,7,120 4 ,체육 
name0는 name1 한 팩의 number0만큼 마셨고 name2이는 name3 한 팩의 number1만큼 마셨습니다. 남은 name4의 양이 더 많은 사람은 누구입니까?,'name0' if 4 / 5 < 6 / 7 else 'name1',윤기,1,4/5 6/7 ,윤기 지민 우유 
name0가 한 상자에 number0개씩 들어 있습니다. name1 number1상자 중에서 number2상자를 팔았습니다. 남아 있는 name2는 몇 개일까요?,number0 * ( number1 - number2 ),36,3,9 7 3 ,우유 
"한 상자에 name0를 number0개씩 담았더니 number1상자가 되었다. 또한, 상자 number2에 바나나를 number3개씩 담았더니 number4상자가 되었다. 어떤 과일이 더 많name1 구하시오.",'name1' if number0 * number1 > number3 * number4 else '바나나',포도,8,8 18 1 4 32 ,은지 포도 
"name0, name1이를 제외한 학급의 도덕 점수 평균은 number0점이고 name2, name3이의 도덕 점수는 각각 number1점, number2점입니다. name4이네 학급 인원수가 number3명일 때, 학급 도덕 점수 평균은 몇 점입니까?",( ( number3 - 2 ) * number0 + number1 + number2 ) / number3,26.57,3,25 98 18 42 ,태형 석진 
name0 공장에서 세발name1를 만드는 데 바퀴 number0개를 사용하였습니다. name2 공장에서 만든 세발name3는 몇 대입니까?,number0 / 3,8,4,24 ,자전거 
"책상에 바나나가 number0개 있습니다. 원숭이가 number1개의 바나나를 더 추가하고, number2개의 바나나를 먹었을 때, 총 바나나의 갯수는 몇 개입니까?",number0 + 7.0 - 5.0,4,4,2.0 7 5 ,
name0이네 농장에 토끼가 number0마리가 사라져서 총 number1마리 있습니다. 토끼가 태어나기 전에는 몇 마리 였나요?,number1 + number0,7,1,1 6 ,태형 
name0이 number0개씩 number1바구니 있습니다. name1의 개수는 몇 개인가?,number0 * number1,305,2,61 5 ,달걀 
"number0로 나누어도 number1이 남고, number2로 나누어도 number3이 남는 어떤 수가 있습니다. 그 중 가장 작은 수는 얼마입니까?","min( [ i + number3 for i in range( number2 , number2 * number0 + 1 ) if i % number2 == 0 and i % number0 == 0 ] )",87,3,28 3 42 3 ,
name0이네 학교의 학생 수는 모두 number0명입니다. 선생님은 number1명입니다. 그 중에서 name1이 number2명이name2 name3은 몇 명인지 쓰시오.,number0 - number2,371,8,740 10 369 ,유정 라면 남학생 여학생 
"체리 number0개가 있습니다. name0이는 이 중에서 number1개를 먹었다고 할 때, 남은 체리는 몇 개일까요?",( number0 - number1 ),16,4,21 5 ,호석 
"number0로 나누어도 number1가 남고, number2로 나누어도 number3가 남는 어떤 수가 있습니다. 그 중에서 가장 작은 수를 구하시오.","min( [ i + number3 for i in range( number2 , number0 * number2 + 1 ) if i % number0 == 0 and i % number2 == 0 ] )",49,3,9 4 15 4 ,
"number0로 나누어도 number1이 남고, number2으로 나누어도 number3이 남는 어떤 수가 있습니다. 어떤 수 중에서 가장 작은 수를 구하시오.","min( [ i + number3 for i in range( number2 , number2 * number0 + 1 ) if i % 15 == 0 and i % 9 == 0 ] )",68,8,5 3 13 3 ,
number0부터 number1까지의 홀수의 합을 구하시오,"sum( [ i for i in range ( number0 , number1 + 1 ) if i % 2 != 0 ] )",9240,7,279 338 ,
"name0이네 모둠은 name1 number0개를 number1명이 똑같이 나누어 가졌고, name2네 모둠은 name3 number2개를 number3명이 똑같이 나누어 가졌습니다. number4명이 가지게 되는 name4의 개수가 더 많은 모둠은 누구의 모둠인지 알아내라.",'name1' if number0 / number1 > number2 / number3 else 'name0',호석,4,36 6 25 5 1 ,유나 호석 사탕 
"과일가게에 number0가지의 과일 name0, 바나나, name1, name2, name3, 참외, 파인애플, 복숭아가 있습니다. 이 중 number1가지의 과일을 골라서 구입하는 방법은 모두 몇 가지입니까?","math.comb( number0 , number1 )",56,9,8 3 ,사과 귤 포도 수박 
name0이네 학교는 number0개의 반이 있고 한 반에 number1명의 학생이 있다. 모든 사람이 name1 number2개씩을 가지고 있다면 name2은 모두 몇 개인가?,number1 * number0 * number2,168,8,4 21 2 ,민영 귤 
name0이는 인형을 number0개 가지고 있습니다. name1이와 이모가 인형을 똑같이 나누어 가지려면 각각 몇개를 가져야 number1요?,number0 / 2,3,2,6 1 ,지민 
name0이네는 닭 number0마리와 돼지를 키우고 있습니다. 다리의 개수가 모두 number1개일 때 돼지는 모두 몇 마리인지 구해라.,( number1 - ( 2 * number0 ) ) / 4,8,3,8 48 ,남준 
"구슬을 팔찌를 만드는 데 몇 개를 사용하였더니 number0개가 남았습니다. 구슬이 원래 number1개가 있었다면, 팔찌를 만드는 데 사용한 구슬은 몇 개인가요?",( number1 - number0 ),15,6,9 24 ,
"number0, number1, number2, number3 중에서 가장 큰 수와 가장 작은 수의 곱은 얼마인가요?","max( number0 , number1 , number2 , number3 ) * min( number0 , number1 , number2 , number3 )",288,1,61 4 7 72 ,
"name0는 줄넘기를 오늘은 number0번 하였습니다. 어제는 number1번 하였을 때, name1는 어제와 오늘 줄넘기를 모두 몇 번 하였을까요?",number0 + number1,163,1,79 84 ,유나 
name0는 number0개의 name1를 갖고 있습니다. 점심때 number1개를 먹고 친구들에게 number2개씩 나누어 주었습니다. 총 몇 명에게 나누어 줄 수 있습니까?,( number0 - number1 ) / number2,9,9,96.0 42.0 6.0 ,윤기 사과 
"name0이와 할아버지는 number0층에서 엘리베이터를 탔습니다. 할아버지는 number1층 더 올라가서 내리셨고, name1이는 할아버지보다 number2층 더 올라가서 내렸습니다. name2이는 몇 층에서 내렸을까요?",number0 + number1 + number2,9,5,1 3 5 ,정국 
끈 number0m를 똑같이 number1조각으로 나누어 그 중 name0이가 number2조각을 사용했습니다. name1이가 사용한 끈의 길이는 몇 m입니까?,( number0 / number1 ) * number2,0.3,8,1 10 3 ,유정 
number0쪽짜리 책을 하루에 number1쪽씩 매일 읽으려고 합니다. 이 책을 모두 읽으려면 며칠일 걸리는지 쓰시오.,number0 / number1,8,7,64 8 ,
급식실에 의자가 number0개 있습니다. 한 식탁에 의자를 number1개씩 놓는다면 필요한 식탁의 개수는 몇 개인가요?,number0 / number1,8,3,80 10 ,
"number0, number1, number2, number3 중에서 가장 큰 수와 가장 작은 수의 차를 구해 보세요.","max( number0 , number1 , number2 , number3 ) - min( number0 , number1 , number2 , number3 )",0.9,9,1.4 0.9 0.7 1.6 ,
name0를 number0로 나누었더니 몫이 number1이고 나머지가 number2였습니다. name1를 구하시오.,number0 * number1 + number2,896,8,38 23 22 ,A 
"냉장고에 name0 name1가 number0병 있고, 오렌지 name2가 name3name4보다 number1병 더 많을 때 냉장고 안에 있는 name5는 모두 몇 개인가?",number1 + ( number1 + number1 ),6,1,2 2 ,포도 주스 
"name0는 number0개의 name1를 가지고 있다가 name2에게 number1개의 name3를 줄 때, name4는 몇 개의 name5를 갖고 있습니까?",number0 - number1,23,1,75.0 52.0 ,민영 은지 사과 
"number0으로 나누어도 number1가 남고, number2로 나누어도 number3가 남는 어떤 수가 있습니다. 어떤 수 중에서 가장 작은 수를 구하시오.","min( [ i + number3 for i in range( number0 , number0 * number2 + 1 ) if i % number2 == 0 and i % number0 == 0 ] )",34,2,10 4 15 4 ,
윗몸 일으키기를 name0이는 number0번 하였고 name1는 number1번 하였습니다. name2이는 name3보다 얼마나 더 많이 윗몸일으키기를 했나요?,number0 - number1,10,3,20 10 ,유나 호석 
number0명의 선수가 출전한 제name0기 시합에서 name1이는 앞에서 number1등을 했습니다. name2이보다 등수가 낮은 사람의 수는 몇 명인가요?,number0 - number1,7,9,10 3 ,남준 기차 
"키가 큰 사람부터 순서대로 number0명이 한 줄로 서 있는데, 키가 작은 사람부터 순서대로 다시 줄을 서려고 합니다. 처음에 name0이가 앞에서부터 number1 번째에 서 있었을 때, name1이는 앞에서부터 몇 번째에 서게 됩니까?",number0 + 1 - number1,2,7,4 3 ,남준 
"서랍에는 number0개의 가위와 number1개의 연필이 있습니다. name0이는 가위 number2개, 연필 number3개를 뺏을 때 ,총 학용품은 몇 개가 있습니까?",number0 + number1 - 10.0 - 10.0,40,8,40.0 20.0 10 10 ,민영 
number0명의 학생들이 가위바위보를 합니다. 모두 가위를 냈을 때 펼친 손가락은 몇 개인가요?,number0 * 2,8,5,4 ,
name0이에게는 number0개의 name1박스가 있습니다. 각 박스에는 number1개의 name2이 있습니다. 총 몇개의 name3 갖고 있습니까?,number1 * number1,49,4,7.0 7.0 ,민영 귤 
"number0, number1, number2 중 가장 큰 수와 가장 작은 수의 합에서 나머지 수를 뺀 값은 얼마인지 쓰시오.","2 * max( number0 , number1 , number2 ) + 2 * min( number0 , number1 , number2 ) - sum( [ number0 , number1 , number2 ] )",5.15,1,4.51 5.73 3.93 ,
number0 이상 number1 미만인 자연수를 모두 더하면 얼마인가?,"sum( [ x for x in range( number0 , number1 ) ] )",50,7,1 13 ,
number0명의 친구가 달리기 시합을 할 때 name0이가 뒤에서 number1번째로 들어왔다면 앞에서 몇번째로 들어왔을까요?,number0 - number1 + 1,5,4,7 3 ,민영 
"number0, number1, number2, number3 중 가장 큰 수와 가장 작은 수의 합을 구하시오.","max( number0 , number1 , number2 , number3 ) + min( number0 , number1 , number2 , number3 )",1101,5,176 785 167 934 ,
"number0장의 수 카드 number1, number2, number3가 있습니다. 이 카드들을 한 번씩만 사용하여 가장 작은 number4자리 수를 만들어 보세요.","[ 100 * i[0] + 10 * i[1] + i[2] for i in [ sorted( [ number1 , number2 , number3 ] ) ] ][0]",467,1,3 6 4 7 3 ,
