Question,Equation,Answer,comment,Question2,Numbers,Names,Equation2
"number0개의 숫자, number1, number2, number3, number4를 한 번씩만 사용하여 number5자리수를 만들려고 합니다. 만들 수 있는 number6자리 수는 모두 몇 개입니까?",math.factorial( number6 ),24,0,"number0개의 숫자, number1, number2, number3, number4를 한 번씩만 사용하여 number5자리수를 만들려고 합니다. 만들 수 있는 number6자리 수는 모두 몇 개입니까?",4 7 2 5 9 4 4 ,,math.factorial( number6 )
"국화, 튤립, 장미, 카네이션, 백합 중에서 number0가지 꽃을 사려고 한다. number1가지 꽃을 선택하는 경우의 수는?","math.comb( 5 , number1 )",10,"5개 꽃, 세 가지","국화, 튤립, 장미, 카네이션, 백합 중에서 number0가지 꽃을 사려고 한다. number1가지 꽃을 선택하는 경우의 수는?",3 3 ,,"math.comb( 5 , number1 )"
"똑같은 name0 number0개를 name1, name2 두 사람이 나누어 갖는 방법은 모두 몇 가지인가?(단, 두 사람은 적어도 number1개의 name3을 갖는다.)","math.comb( number0 - number1 , number1 )",95,한 자루 : 1,"똑같은 name0 number0개를 name1, name2 두 사람이 나누어 갖는 방법은 모두 몇 가지인가?(단, 두 사람은 적어도 number1개의 name3을 갖는다.)",96 1 ,유정 석진 달걀 ,"math.comb( number0 - number1 , number1 )"
체리 number0개를 서로 다른 number1마리 토끼에게 나누어 주려고 합니다. 토끼는 적어도 체리 number2개는 받습니다. 체리를 나누어 주는 방법은 모두 몇 가지 입니까?,"math.comb( number0 - number2 , number2 )",88,0,체리 number0개를 서로 다른 number1마리 토끼에게 나누어 주려고 합니다. 토끼는 적어도 체리 number2개는 받습니다. 체리를 나누어 주는 방법은 모두 몇 가지 입니까?,89 2 1 ,,"math.comb( number0 - number2 , number2 )"
"name0, name1, name2, name3, name4 number0명을 한 줄로 세울 때, name5가 가운데에 서는 경우의 수는?",math.factorial( number0 - 1 ),24,0,"name0, name1, name2, name3, name4 number0명을 한 줄로 세울 때, name5가 가운데에 서는 경우의 수는?",5 ,민영 유나 남준 석진 은지 ,math.factorial( number0 - 1 )
number0개의 건반으로 화음을 만든다면 이 건반들로 화음을 만들 수 있는 방법은 몇 가지인가?,2 ** number0,73786976294838206464,신호 :２,number0개의 건반으로 화음을 만든다면 이 건반들로 화음을 만들 수 있는 방법은 몇 가지인가?,66 ,,2 ** number0
"number0개의 글자 카드 name0, name1, name2, name3, name4에서 number1개를 뽑아 일렬로 세울 때, name5가 빠지는 경우는 모두 몇 가지인가?","math.comb( number0 - 1 , number1 ) * math.factorial( number1 )",12,빠짐 : -1,"number0개의 글자 카드 name0, name1, name2, name3, name4에서 number1개를 뽑아 일렬로 세울 때, name5가 빠지는 경우는 모두 몇 가지인가?",5 2 ,A B C D E ,"math.comb( number0 - 1 , number1 ) * math.factorial( number1 )"
"어느 마트에서 경품으로 number0가지 물품 항목 중 number1가지를 준다고 한다. 물품 항목 중 number2가지를 선택할 때, 가능한 경우의 수는?","math.comb( number0 , number2 )",10235867928,0,"어느 마트에서 경품으로 number0가지 물품 항목 중 number1가지를 준다고 한다. 물품 항목 중 number2가지를 선택할 때, 가능한 경우의 수는?",94 87 87 ,,"math.comb( number0 , number2 )"
"name0네 주말 농장을 가꾸는데 가지, 상추, 고구마, name1, name2자 중에서 number0가지를 선택하여 심으려고 한다. name3가 선택할 수 있는 경우의 수는?","math.comb( 6 , number0 )",15,두 가지 : 2,"name0네 주말 농장을 가꾸는데 가지, 상추, 고구마, name1, name2자 중에서 number0가지를 선택하여 심으려고 한다. name3가 선택할 수 있는 경우의 수는?",2 ,윤기 감 토마토 ,"math.comb( 6 , number0 )"
"백합, 튤립, 국화, 장미, 프리지아가 각각 한 송이씩 있다. 세 사람에게 number0개씩 나누어 주는 방법은 모두 몇 가지인가?","math.comb( 5 , number0 ) * math.comb( 4 , number0 ) * math.comb( 3 , number0 )",60,0,"백합, 튤립, 국화, 장미, 프리지아가 각각 한 송이씩 있다. 세 사람에게 number0개씩 나누어 주는 방법은 모두 몇 가지인가?",1 ,,"math.comb( 5 , number0 ) * math.comb( 4 , number0 ) * math.comb( 3 , number0 )"
"백합, 튤립, 국화, 장미, 프리지아가 각각 한 송이씩 있다. 서로 다른 두 바구니에 number0개씩 넣는 방법은 모두 몇 가지인가?","math.comb( 5 , number0 ) * math.comb( 3 , number0 )",30,0,"백합, 튤립, 국화, 장미, 프리지아가 각각 한 송이씩 있다. 서로 다른 두 바구니에 number0개씩 넣는 방법은 모두 몇 가지인가?",2 ,,"math.comb( 5 , number0 ) * math.comb( 3 , number0 )"
"number0개의 밤을 number1개의 서로 다른 봉지에 나누어 담는 경우의 수를 구하여라.(단, 적어도 각 봉지에 number2개씩은 넣는다.)",number0 - number2,86,한 개 : 1,"number0개의 밤을 number1개의 서로 다른 봉지에 나누어 담는 경우의 수를 구하여라.(단, 적어도 각 봉지에 number2개씩은 넣는다.)",87 2 1 ,,number0 - number2
" name0, name1, name2, name3, name4, name5, name6의 number0 팀이 서로 한 번씩 경기를 가지려면 총 몇 번의 경기를 해야 하는가?","math.comb( number0 , 2 )",21,"일곱 : 7, 경기 :２","name0, name1, name2, name3, name4, name5, name6의 number0 팀이 서로 한 번씩 경기를 가지려면 총 몇 번의 경기를 해야 하는가?",7 ,A B C D E F G ,"math.comb( number0 , 2 )"
"name0네 텃밭을 가꾸는데 딸기, 고구마, 고추, 가지 중에서 number0가지를 선택하여 심으려고 한다. name1가 선택할 수 있는 경우의 수는?","math.comb( 4 , number0 )",6,총 4가지 중 2개,"name0네 텃밭을 가꾸는데 딸기, 고구마, 고추, 가지 중에서 number0가지를 선택하여 심으려고 한다. name1가 선택할 수 있는 경우의 수는?",2 ,유나 ,"math.comb( 4 , number0 )"
number0개의 하키팀이 있다. 각 팀이 서로 다른 팀과 한 번씩 시합을 갖는다면 시합은 몇 번 해야 하는가?,"math.comb( number0 , 2 )",6,경기 : 2,number0개의 하키팀이 있다. 각 팀이 서로 다른 팀과 한 번씩 시합을 갖는다면 시합은 몇 번 해야 하는가?,4 ,,"math.comb( number0 , 2 )"
어떤 조의 조원은 모두 number0명이다. 각각의 조원이 다른 조원들과 한 번씩만 악수를 한다면 악수를 하는 횟수는?,"math.comb( number0 , 2 )",15,악수 : 2,어떤 조의 조원은 모두 number0명이다. 각각의 조원이 다른 조원들과 한 번씩만 악수를 한다면 악수를 하는 횟수는?,6 ,,"math.comb( number0 , 2 )"
"어느 쇼핑몰에서 number0만원 이상을 구입한 고객에게 경품으로 number1가지 상품 중 number2가지를 준다고 한다. 상품 중 number3가지를 고를 때, 고를 수 있는 방법의 수는?","math.comb( number1 , number3 )",15,0,"어느 쇼핑몰에서 number0만원 이상을 구입한 고객에게 경품으로 number1가지 상품 중 number2가지를 준다고 한다. 상품 중 number3가지를 고를 때, 고를 수 있는 방법의 수는?",10 6 2 2 ,,"math.comb( number1 , number3 )"
"청록, 보라, 분홍, 하양, 검정의 number0가지 색 중에서 number1가지의 색을 고르는 경우의 수는?","math.comb( number0 , number1 )",10,0,"청록, 보라, 분홍, 하양, 검정의 number0가지 색 중에서 number1가지의 색을 고르는 경우의 수는?",5 3 ,,"math.comb( number0 , number1 )"
"서로 다른 number0마리의 병아리가 있다. 그 중에서 number1마리의 병아리를 고르려고 할 때, 고를 수 있는 경우의 수를 구하여라.","math.comb( number0 , number1 )",88,0,"서로 다른 number0마리의 병아리가 있다. 그 중에서 number1마리의 병아리를 고르려고 할 때, 고를 수 있는 경우의 수를 구하여라.",88 87 ,,"math.comb( number0 , number1 )"
number0명의 어린이들이 한 줄로 줄을 섰습니다. name0이의 앞에 number1명의 어린이들이 서 있습니다. name1이의 뒤에 서 있는 어린이은 몇 명입니까?,number0 - number1 - 1,7,자신 포함 : 1,number0명의 어린이들이 한 줄로 줄을 섰습니다. name0이의 앞에 number1명의 어린이들이 서 있습니다. name1이의 뒤에 서 있는 어린이은 몇 명입니까?,11 3 ,지민 ,number0 - number1 - 1
키가 작은 사람부터 순서대로 number0명이 한 줄로 서 있습니다. name0이가 앞에서부터 number1 번째에 서 있습니다. 키가 큰 사람부터 순서대로 다시 줄을 서면 name1이는 앞에서부터 몇 번째에 서게 됩니까?,number0 + 1 - number1,2,자신 포함 :１,키가 작은 사람부터 순서대로 number0명이 한 줄로 서 있습니다. name0이가 앞에서부터 number1 번째에 서 있습니다. 키가 큰 사람부터 순서대로 다시 줄을 서면 name1이는 앞에서부터 몇 번째에 서게 됩니까?,4 3 ,남준 ,number0 + 1 - number1
name0이와 name1이가 name2에 입장하기 위해 번호표를 뽑아서 기다리고 있습니다. name3이가 가진 번호표는 number0번이고 name4이가 가진 번호표는 number1번입니다. 누가 먼저 입장 할 수 있을까요?,'name0' if number0 < number1 else 'name1',지민,0,name0이와 name1이가 name2에 입장하기 위해 번호표를 뽑아서 기다리고 있습니다. name3이가 가진 번호표는 number0번이고 name4이가 가진 번호표는 number1번입니다. 누가 먼저 입장 할 수 있을까요?,374 369 ,정국 지민 박물관 ,'name0' if number0 < number1 else 'name1'
name0이와 name1이가 name2에 입장하기 위해 번호표를 뽑아서 기다리고 있습니다. name3이가 가진 번호표는 number0번이고 name4이가 가진 번호표는 number1번입니다. 누가 더 늦게 입장 할까요?,'name0' if number0 > number1 else 'name1',정국,0,name0이와 name1이가 name2에 입장하기 위해 번호표를 뽑아서 기다리고 있습니다. name3이가 가진 번호표는 number0번이고 name4이가 가진 번호표는 number1번입니다. 누가 더 늦게 입장 할까요?,374 369 ,정국 지민 박물관 ,'name0' if number0 > number1 else 'name1'
"윗몸 일으키기를 name0이는 number0번, name1이는 number1번, name2이는 number2번 했습니다. 윗몸 일으키기를 가장 많이 한 사람은 누구인지 구하세요.",'name2' if number0 > number1 and number0 > number2 else 'name0' if number1 > number0 and number1 > number2 else 'name1',태형,0,"윗몸 일으키기를 name0이는 number0번, name1이는 number1번, name2이는 number2번 했습니다. 윗몸 일으키기를 가장 많이 한 사람은 누구인지 구하세요.",132 304 228 ,태형 남준 석진 ,'name2' if number0 > number1 and number0 > number2 else 'name0' if number1 > number0 and number1 > number2 else 'name1'
"턱걸이를 name0이는 number0번, name1이는 number1번, name2이는 number2번 했습니다. 턱걸이를 가장 적게 한 사람은 누구인지 구하세요.",'name2' if number0 < number1 and number0 < number2 else 'name0' if number1 < number0 and number1 < number2 else 'name1',석진,0,"턱걸이를 name0이는 number0번, name1이는 number1번, name2이는 number2번 했습니다. 턱걸이를 가장 적게 한 사람은 누구인지 구하세요.",132 304 228 ,태형 남준 석진 ,'name2' if number0 < number1 and number0 < number2 else 'name0' if number1 < number0 and number1 < number2 else 'name1'
"number0장의 숫자 카드 number1, number2, number3을 한 번씩만 사용하여 가장 큰 number4자리 수를 만들어 보세요.","[ 100 * i[0] + 10 * i[1] + i[2] for i in [ sorted( [ number1 , number2 , number3 ] ,reverse = True ) ] ][0]",852,0,"number0장의 숫자 카드 number1, number2, number3을 한 번씩만 사용하여 가장 큰 number4자리 수를 만들어 보세요.",3 5 2 8 3 ,,"[ 100 * i[0] + 10 * i[1] + i[2] for i in [ sorted( [ number1 , number2 , number3 ] ,reverse = True ) ] ][0]"
"number0장의 숫자 카드 number1, number2, number3을 한 번씩만 사용하여 가장 작은 number4자리 수를 만들어 보세요.","[ 100 * i[0] + 10 * i[1] + i[2] for i in [ sorted( [ number1 , number2 , number3 ] ) ] ][0]",467,0,"number0장의 숫자 카드 number1, number2, number3을 한 번씩만 사용하여 가장 작은 number4자리 수를 만들어 보세요.",3 6 4 7 3 ,,"[ 100 * i[0] + 10 * i[1] + i[2] for i in [ sorted( [ number1 , number2 , number3 ] ) ] ][0]"
"number0장의 숫자 카드 number1, number2, number3, number4 중에서 number5장을 뽑아 한 번씩만 사용하여 number6자리 수를 만들려고 합니다. 가장 작은 number7자리 수는 name0엇인가요?","[ 100 * i[0] + 10 * number2 + i[1] for i in [ sorted( [ number1 , number3 , number7 ] ) ] ] [0]",305,0이 포함되어있는 경우,"number0장의 숫자 카드 number1, number2, number3, number4 중에서 number5장을 뽑아 한 번씩만 사용하여 number6자리 수를 만들려고 합니다. 가장 작은 number7자리 수는 name0엇인가요?",4 9 0 5 3 3 3 3 ,무 ,"[ 100 * i[0] + 10 * number2 + i[1] for i in [ sorted( [ number1 , number3 , number7 ] ) ] ] [0]"
"name0이네 교실에는 name1이 number0명, name2이 number1명 있습니다. name3과 name4 중에서 어느 쪽이 더 많은가요?",'name1' if number0 > number1 else 'name2',여학생,0,"name0이네 교실에는 name1이 number0명, name2이 number1명 있습니다. name3과 name4 중에서 어느 쪽이 더 많은가요?",253 256 ,태형 남학생 여학생 ,'name1' if number0 > number1 else 'name2'
"name0이네 학원에는 name1이 number0명, name2이 number1명 있습니다. name3과 name4 중에서 어느 쪽이 더 적name5 구하세요.",'name2' if number0 < number1 else 'name3',남학생,0,"name0이네 학원에는 name1이 number0명, name2이 number1명 있습니다. name3과 name4 중에서 어느 쪽이 더 적name5 구하세요.",253 256 ,태형 은지 남학생 여학생 ,'name2' if number0 < number1 else 'name3'
"식당에 입장하기 위해 번호표를 뽑아서 기다리고 있습니다. name0이는 number0번, name1는 number1번, name2이는 number2번을 받았다면 가장 먼저 입장할 수 있는 사람은 누구일까요?",'name0' if number0 < number1 and number0 < number2 else 'name1' if number1 < number0 and number1 < number2 else 'name2',윤기,0,"식당에 입장하기 위해 번호표를 뽑아서 기다리고 있습니다. name0이는 number0번, name1는 number1번, name2이는 number2번을 받았다면 가장 먼저 입장할 수 있는 사람은 누구일까요?",380 374 401 ,남준 윤기 호석 ,'name0' if number0 < number1 and number0 < number2 else 'name1' if number1 < number0 and number1 < number2 else 'name2'
"식당에 입장하기 위해 번호표를 뽑아서 기다리고 있습니다. name0이는 number0번, name1는 number1번, name2이는 number2번을 받았다면 가장 나중에 입장할 수 있는 사람은 누구일까요?",'name0' if number0 > number1 and number0 > number2 else 'name1' if number1 > number0 and number1 > number2 else 'name2',호석,0,"식당에 입장하기 위해 번호표를 뽑아서 기다리고 있습니다. name0이는 number0번, name1는 number1번, name2이는 number2번을 받았다면 가장 나중에 입장할 수 있는 사람은 누구일까요?",380 374 401 ,남준 윤기 호석 ,'name0' if number0 > number1 and number0 > number2 else 'name1' if number1 > number0 and number1 > number2 else 'name2'
name0이 number0개 들어 있는 박스에 name1을 number1개씩 number2번 넣었습니다. 박스에 들어 있는 name2은 모두 몇 개인지 구하세요.,number0 + number1 * number2,190,0,name0이 number0개 들어 있는 박스에 name1을 number1개씩 number2번 넣었습니다. 박스에 들어 있는 name2은 모두 몇 개인지 구하세요.,150 10 4 ,배구공 배 배 ,number0 + number1 * number2
연못가에 개구리가 number0마리 있었습니다. 잠시 후 number1마리가 더 왔습니다. 연못가에 있는 개구리는 모두 몇 마리일까요?,number0 + number1,22,0,연못가에 개구리가 number0마리 있었습니다. 잠시 후 number1마리가 더 왔습니다. 연못가에 있는 개구리는 모두 몇 마리일까요?,18 4 ,,number0 + number1
연못가에 개구리가 number0마리 있었습니다. 잠시 후 number1마리가 다른 곳으로 도망갔습니다. 연못가에 있는 개구리는 모두 몇 마리일까요?,number0 - number1,14,0,연못가에 개구리가 number0마리 있었습니다. 잠시 후 number1마리가 다른 곳으로 도망갔습니다. 연못가에 있는 개구리는 모두 몇 마리일까요?,18 4 ,,number0 - number1
"교내 텃밭에서 name0는 대추를 number0개, name1이는 number1개 땄습니다. name2와 name3이가 딴 대추는 모두 몇 개일까요?",number0 + number1,84,0,"교내 텃밭에서 name0는 대추를 number0개, name1이는 number1개 땄습니다. name2와 name3이가 딴 대추는 모두 몇 개일까요?",49 35 ,윤기 석진 ,number0 + number1
초원에 코끼리가 number0마리 있었습니다. 잠시 후 사자 number1마리가 더 왔습니다. 초원에 있는 동물은 모두 몇 마리일까요?,number0 + number1,56,0,초원에 코끼리가 number0마리 있었습니다. 잠시 후 사자 number1마리가 더 왔습니다. 초원에 있는 동물은 모두 몇 마리일까요?,37 19 ,,number0 + number1
"name0이의 사물함에는 만화책이 number0권, 교과서가 number1권 있습니다. name1이의 사물함에 있는 만화책과 교과서는 모두 몇 권일까요?",number0 + number1,129,0,"name0이의 사물함에는 만화책이 number0권, 교과서가 number1권 있습니다. name1이의 사물함에 있는 만화책과 교과서는 모두 몇 권일까요?",75 54 ,민영 ,number0 + number1
"name0는 팔굽혀펴기를 그제는 number0번 하였고, 어제는 number1번 하였습니다. name1는 그제와 어제 팔굽혀펴기를 모두 몇 번 하였을까요?",number0 + number1,163,0,"name0는 팔굽혀펴기를 그제는 number0번 하였고, 어제는 number1번 하였습니다. name1는 그제와 어제 팔굽혀펴기를 모두 몇 번 하였을까요?",84 79 ,유나 ,number0 + number1
"마당에 수컷 다람쥐가 number0마리, 암컷 다람쥐가 number1마리 있습니다. 암컷 다람쥐는 수컷 다람쥐보다 몇 마리 더 많을까요?",abs( number0 - number1 ),53,0,"마당에 수컷 다람쥐가 number0마리, 암컷 다람쥐가 number1마리 있습니다. 암컷 다람쥐는 수컷 다람쥐보다 몇 마리 더 많을까요?",60 7 ,,abs( number0 - number1 )
전깃줄에 참새가 number0마리 있었습니다. 잠시 후 number1마리가 날아갔습니다. 전깃줄에 남아있는 참새는 몇 마리일까요?,number0 - number1,24,0,전깃줄에 참새가 number0마리 있었습니다. 잠시 후 number1마리가 날아갔습니다. 전깃줄에 남아있는 참새는 몇 마리일까요?,40 16 ,,number0 - number1
number0보다 number1 작은 수는 얼마일까요?,number0 - number1,47,0,number0보다 number1 작은 수는 얼마일까요?,82 35 ,,number0 - number1
"장난name0 가게에서 장난name1을 이번 달에는 number0개, 지난 달에는 number1개 팔았습니다. 이번 달에는 지난달보다 장난name2을 몇 개 덜 팔았을까요?",abs( number0 - number1 ),25,0,"장난name0 가게에서 장난name1을 이번 달에는 number0개, 지난 달에는 number1개 팔았습니다. 이번 달에는 지난달보다 장난name2을 몇 개 덜 팔았을까요?",46 71 ,감 ,abs( number0 - number1 )
창고에 name0자가 있었습니다. 채소 가게에서 name1자 number0개를 사왔더니 name2자가 모두 number1개가 되었습니다. 처음 창고에 있던 name3자는 몇 개인가요?,number1 - number0,17,0,창고에 name0자가 있었습니다. 채소 가게에서 name1자 number0개를 사왔더니 name2자가 모두 number1개가 되었습니다. 처음 창고에 있던 name3자는 몇 개인가요?,13 30 ,감 ,number1 - number0
비즈가 number0개 있었습니다. 그 중에서 목걸이를 만드는 데 몇 개를 사용하였더니 number1개가 남았습니다. 목걸이를 만드는 데 사용한 비즈는 몇 개인가요?,number0 - number1,15,0,비즈가 number0개 있었습니다. 그 중에서 목걸이를 만드는 데 몇 개를 사용하였더니 number1개가 남았습니다. 목걸이를 만드는 데 사용한 비즈는 몇 개인가요?,24 9 ,,number0 - number1
"엘리베이터에 number0명이 타고 있었습니다. number1층에서 number2명이 내리고, number3층에서 number4명이 탔습니다. 지금 엘리베이터에 타고 있는 사람은 몇 명일가요?",number0 - number2 + number4,23,0,"엘리베이터에 number0명이 타고 있었습니다. number1층에서 number2명이 내리고, number3층에서 number4명이 탔습니다. 지금 엘리베이터에 타고 있는 사람은 몇 명일가요?",40 3 16 6 9 ,,number0 - number2 + number4
"빨간 구슬이 number0개, 파란 구슬이 number1개 있습니다. 노란 구슬이 빨간 구슬과 파란 구슬을 합한 것보다 number2개 적다면 노란 구슬은 몇 개일까요?",number0 + number1 - number2,36,0,"빨간 구슬이 number0개, 파란 구슬이 number1개 있습니다. 노란 구슬이 빨간 구슬과 파란 구슬을 합한 것보다 number2개 적다면 노란 구슬은 몇 개일까요?",18 23 5 ,,number0 + number1 - number2
"숫자 카드 number0, number1, number2, number3를 한 번씩만 사용하여 number4자리 수를 만들려고 합니다. 만들 수 있는 수 중에서 가장 큰 수와 가장 작은 수의 합을 구하세요.","[ 100 * i[0] + 10 * i[1] + i[2] for i in [ sorted( [ number0 , number1 , number4 , number3 ] , reverse = True ) ] ] [0] + [ 100 * i[0] + 10 * i[1] + i[2] for i in [ sorted( [ number0 , number1 , number4 , number3 ] ) ] ] [0]",1099,0,"숫자 카드 number0, number1, number2, number3를 한 번씩만 사용하여 number4자리 수를 만들려고 합니다. 만들 수 있는 수 중에서 가장 큰 수와 가장 작은 수의 합을 구하세요.",5 8 2 4 2 ,,"[ 100 * i[0] + 10 * i[1] + i[2] for i in [ sorted( [ number0 , number1 , number4 , number3 ] , reverse = True ) ] ] [0] + [ 100 * i[0] + 10 * i[1] + i[2] for i in [ sorted( [ number0 , number1 , number4 , number3 ] ) ] ] [0]"
어떤 수에 number0를 더하면 number1과 같습니다. 어떤 수보다 number2 큰 수는 얼마일까요?,number1 - number0 + number2,73,0,어떤 수에 number0를 더하면 number1과 같습니다. 어떤 수보다 number2 큰 수는 얼마일까요?,24 81 16 ,,number1 - number0 + number2
number0에 어떤 수를 더할 것을 잘못하여 뺐더니 number1이 되었습니다. 바르게 계산하면 얼마일까요?,number0 + ( number0 - number1 ),91,0,number0에 어떤 수를 더할 것을 잘못하여 뺐더니 number1이 되었습니다. 바르게 계산하면 얼마일까요?,54 17 ,,number0 + ( number0 - number1 )
어떤 수에 number0을 더할 것을 잘못하여 뺐더니 number1가 되었습니다. 바르게 계산하면 얼마일까요?,number1 + number0 + number0,71,0,어떤 수에 number0을 더할 것을 잘못하여 뺐더니 number1가 되었습니다. 바르게 계산하면 얼마일까요?,18 35 ,,number1 + number0 + number0
어떤 수에서 number0를 뺄 것을 잘못하여 더했더니 number1이 되었습니다. 바르게 계산하면 얼마일까요?,number1 - number0 - number0,12,0,어떤 수에서 number0를 뺄 것을 잘못하여 더했더니 number1이 되었습니다. 바르게 계산하면 얼마일까요?,19 50 ,,number1 - number0 - number0
"name0이네 농장에 오리가 number0마리, 닭이 number1마리 있습니다. 오리가 닭보다 몇 마리 더 많name1 구하세요.",abs( number0 - number1 ),18,0,"name0이네 농장에 오리가 number0마리, 닭이 number1마리 있습니다. 오리가 닭보다 몇 마리 더 많name1 구하세요.",76 58 ,태형 은지 ,abs( number0 - number1 )
name0이는 살구 number0개 중에서 number1개를 먹었습니다. 남은 살구는 몇 개일까요?,number0 - number1,16,0,name0이는 살구 number0개 중에서 number1개를 먹었습니다. 남은 살구는 몇 개일까요?,21 5 ,호석 ,number0 - number1
"name0가 number0명의 승객을 태우고 출발하였습니다. number1번째 역에서 number2명이 타고, number3번째 역에서 number4명이 내렸다면 name1에 타고 있는 승객은 몇 명일까요?",number0 + number2 - number4,17,0,"name0가 number0명의 승객을 태우고 출발하였습니다. number1번째 역에서 number2명이 타고, number3번째 역에서 number4명이 내렸다면 name1에 타고 있는 승객은 몇 명일까요?",28 1 7 2 18 ,기차 ,number0 + number2 - number4
name0이는 초콜릿 number0개를 가지고 있었습니다. 그 중에서 동생에게 몇 개를 주었더니 number1개가 되었습니다. 동생에게 준 초콜릿은 몇 개인지 구하세요.,number0 - number1,18,0,name0이는 초콜릿 number0개를 가지고 있었습니다. 그 중에서 동생에게 몇 개를 주었더니 number1개가 되었습니다. 동생에게 준 초콜릿은 몇 개인지 구하세요.,31 13 ,태형 ,number0 - number1
어떤 수에 number0을 더할 것을 잘못하여 뺐더니 number1이 되었습니다. 바르게 계산하면 얼마인지 구하세요.,number1 + number0 + number0,92,0,어떤 수에 number0을 더할 것을 잘못하여 뺐더니 number1이 되었습니다. 바르게 계산하면 얼마인지 구하세요.,18 56 ,,number1 + number0 + number0
"number0자리 숫자가 number1이고, number2자리 숫자가 number3인 number4자리 수보다 number5 작은 수는 얼마입니까?",number2 * number3 + number1 - number5,37,00자리 숫자,"number0자리 숫자가 number1이고, number2자리 숫자가 number3인 number4자리 수보다 number5 작은 수는 얼마입니까?",1 6 10 4 2 9 ,,number2 * number3 + number1 - number5
name0에 책이 number0권 있었습니다. 그 중에서 학생들이 몇 권을 빌려 갔더니 name1에 남아 있는 책은 number1권 이었습니다. 학생들이 빌려 간 책은 몇 권인지 쓰세요.,number0 - number1,69,0,name0에 책이 number0권 있었습니다. 그 중에서 학생들이 몇 권을 빌려 갔더니 name1에 남아 있는 책은 number1권 이었습니다. 학생들이 빌려 간 책은 몇 권인지 쓰세요.,98 29 ,도서관 ,number0 - number1
"number0+name0=number1', 'number2-name1=number3'일때 name2+name3를 구하시오.",number1 - number0 + number2 - number3,90,0,"number0+name0=number1', 'number2-name1=number3'일때 name2+name3를 구하시오.",8 54 63 19 ,A B ,number1 - number0 + number2 - number3
name0이가 게시판의 짧은 쪽의 길이를 뼘으로 재었더니 number0뼘이었습니다. 한 뼘의 길이가 약 number1 cmname1 게시판의 짧은 쪽의 길이는 약 몇 cm인가요?,number0 * number1,33,0,name0이가 게시판의 짧은 쪽의 길이를 뼘으로 재었더니 number0뼘이었습니다. 한 뼘의 길이가 약 number1 cmname1 게시판의 짧은 쪽의 길이는 약 몇 cm인가요?,3 11 ,지민 라면 ,number0 * number1
"name0이는 딱지를 number0개 가지고 있고, name1이는 name2이의 number1name3를 가지고 있습니다. name4이가 가지고 있는 딱지는 모두 몇 개일까요?",number0 * number1,15,0,"name0이는 딱지를 number0개 가지고 있고, name1이는 name2이의 number1name3를 가지고 있습니다. name4이가 가지고 있는 딱지는 모두 몇 개일까요?",3 5 ,민영 호석 배 배 ,number0 * number1
name0이의 나이는 number0살입니다. 고모의 연세는 name1이의 나이의 number1name2입니다. 고모의 연세는 몇 살일까요?,number0 * number1,32,0,name0이의 나이는 number0살입니다. 고모의 연세는 name1이의 나이의 number1name2입니다. 고모의 연세는 몇 살일까요?,8 4 ,남준 배 배 ,number0 * number1
"꽃병을 name0이는 number0개씩 number1박스 가지고 있고, name1는 number2개씩 number3박스 가지고 있습니다. name2이와 name3 중 꽃병를 더 많이 가지고 있는 사람은 누구일까요?",'name1' if number0 * number1 > number2 * number3 else 'name0',정국,0,"꽃병을 name0이는 number0개씩 number1박스 가지고 있고, name1는 number2개씩 number3박스 가지고 있습니다. name2이와 name3 중 꽃병를 더 많이 가지고 있는 사람은 누구일까요?",8 6 5 9 ,유나 정국 ,'name1' if number0 * number1 > number2 * number3 else 'name0'
"name0 구슬은 number0개씩 number1통 있고, name1 구슬은 name2 구슬보다 number2개 더 많이 있습니다. name3 구슬은 모두 몇 개일까요?",number0 * number1 + number2,47,0,"name0 구슬은 number0개씩 number1통 있고, name1 구슬은 name2 구슬보다 number2개 더 많이 있습니다. name3 구슬은 모두 몇 개일까요?",7 6 5 ,빨간색 검은색 ,number0 * number1 + number2
name0이네 학급 친구들을 number0명씩 number1줄로 세웠더니 number2명이 남았습니다. name1이네 학급 학생은 모두 몇 명일까요?,number1 * number1 + number2,70,0,name0이네 학급 친구들을 number0명씩 number1줄로 세웠더니 number2명이 남았습니다. name1이네 학급 학생은 모두 몇 명일까요?,8 8 6 ,유정 ,number1 * number1 + number2
name0이는 형광펜을 number0자루씩 number1묶음 가지고 있습니다. 그중에서 할아버지에게 number2자루를 주었다면 남은 형광펜은 몇 자루일까요?,number0 * number1 - number2,33,0,name0이는 형광펜을 number0자루씩 number1묶음 가지고 있습니다. 그중에서 할아버지에게 number2자루를 주었다면 남은 형광펜은 몇 자루일까요?,9 5 12 ,태형 ,number0 * number1 - number2
name0가 한 바구니에 number0개씩 들어 있습니다. number1개의 바구니에 들어 있는 name1는 모두 몇 개일까요?,number0 * number1,36,0,name0가 한 바구니에 number0개씩 들어 있습니다. number1개의 바구니에 들어 있는 name1는 모두 몇 개일까요?,4 9 ,토마토 ,number0 * number1
number0명이 가위바위보를 하고 있습니다. number1명은 바위를 내고 number2명은 가위를 냈을 때 펼친 손가락은 모두 몇 개일까요?,number1 * 0 + number2 * number1,6,가위바위보,number0명이 가위바위보를 하고 있습니다. number1명은 바위를 내고 number2명은 가위를 냈을 때 펼친 손가락은 모두 몇 개일까요?,5 2 3 ,,number1 * 0 + number2 * number1
